Price,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,
2000-01-03,0.8370022177696228,0.8412080308009384,0.7603586929511708,0.7841930976961452,535796800
2000-01-04,0.7664347290992737,0.8271881159152289,0.7566204309406731,0.8094295633996046,512377600
2000-01-05,0.777649998664856,0.8267206843879417,0.7701730690437973,0.7757807537803213,778321600
2000-01-06,0.7103535532951355,0.8000826133954239,0.7103535532951355,0.7935402802058126,767972800
2000-01-07,0.7440021634101868,0.7552184316961353,0.7140927968477656,0.7215697266724519,460734400
2000-01-10,0.7309166193008423,0.7645644720142756,0.7084841850430806,0.7626952272854844,505064000
2000-01-11,0.6935295462608337,0.7430675564000493,0.6767056432178344,0.717363953833211,441548800
2000-01-12,0.6519365310668945,0.7140926704267334,0.6467952722935159,0.7103533326274735,976068800
2000-01-13,0.7234388589859009,0.7383935659294352,0.691660250242486,0.7064977019727117,1032684800
2000-01-14,0.7510119080543518,0.7645646467538639,0.7430676535791537,0.747740741510618,390376000
2000-01-18,0.7771826982498169,0.7926055279274745,0.7510117732507402,0.7552183852493406,459177600
2000-01-19,0.7968114018440247,0.8131680325686059,0.7729769921271914,0.7898009466009747,597643200
2000-01-20,0.8486859202384949,0.9085046533969406,0.8486859202384949,0.8636405785695658,1831132800
2000-01-21,0.8323293328285217,0.854293699536468,0.8239169559699229,0.854293699536468,495924800
2000-01-24,0.7944748401641846,0.8430773560552812,0.7860624141263844,0.810831420091177,440876800
2000-01-25,0.8393388986587524,0.8458821298883773,0.7655000502142826,0.785127847053958,497145600
2000-01-26,0.8239169716835022,0.853826392055438,0.8206458550171248,0.8225150502787439,367158400
2000-01-27,0.8225150108337402,0.8449474993321512,0.8000825722524144,0.8136353104665937,340144000
2000-01-28,0.7598915696144104,0.8290573851503453,0.7524146388012972,0.8089623130779746,423348800
2000-01-31,0.7757809162139893,0.7767155638104938,0.7066151471403233,0.755218569256711,701680000
2000-02-01,0.7496097683906555,0.7851277145635499,0.7477405735715519,0.7776499369456199,318035200
2000-02-02,0.7388609051704407,0.7636299089317681,0.7253081190421364,0.7533491373369335,464195200
2000-02-03,0.7725095748901367,0.7795200288317999,0.749609767005632,0.7500770906680824,475193600
2000-02-04,0.8075602054595947,0.8225148623109145,0.7748461011637486,0.7771826695824322,425320000
2000-02-07,0.8528916835784912,0.8542936548001826,0.7921382994610102,0.8075603323192043,441067200
2000-02-08,0.8589673638343811,0.8683134368367995,0.831861795378192,0.8524241343581004,408643200
2000-02-09,0.8421424627304077,0.8757911587156956,0.8407405918017351,0.8533587280035488,299364800
2000-02-10,0.8486859202384949,0.8514897626846921,0.8225149436980935,0.8440127829387245,302982400
2000-02-11,0.813167929649353,0.8533589150868783,0.8094294399630715,0.8496204254005968,212251200
2000-02-14,0.8659770488739014,0.8664443725611602,0.8122332774097022,0.8173736882183149,367539200
2000-02-15,0.8898115754127502,0.8968220306718555,0.8613041278069484,0.8617714515572208,485744000
2000-02-16,0.8533591628074646,0.8832693851659353,0.8384045008820672,0.8804647433723495,378246400
2000-02-17,0.8589673638343811,0.8636404003355903,0.8458819032232359,0.8613038820849858,289497600
2000-02-18,0.8318620324134827,0.86270599892583,0.8290573411565411,0.8570983135928381,233441600
2000-02-22,0.8510223031044006,0.8743893835509364,0.7977458109366401,0.8234494596600247,422296000
2000-02-23,0.8692481517791748,0.8898113908680932,0.8299917668879354,0.846699311292801,473099200
2000-02-24,0.8614203333854675,0.8907460150045714,0.8356002779143497,0.8771932300733448,376432000
2000-02-25,0.8253186345100403,0.8748566861260307,0.8234494398340532,0.8585000596599526,249144000
2000-02-28,0.846816897392273,0.859902364907136,0.8103643881116048,0.823449855626468,328328000
2000-02-29,0.8570981621742249,0.8767259558796979,0.8416753829693445,0.8491530608209327,368961600
2000-03-01,0.9743993878364563,0.9874848524127208,0.8860731009517027,0.886540424710259,1077003200
2000-03-02,0.9122442007064819,0.9566410642480488,0.9024299007705304,0.949631406227145,311259200
2000-03-03,0.9571080207824707,0.9588609090102325,0.8972892873732851,0.933740936507401,323366400
2000-03-06,0.9398168325424194,0.9655204352564056,0.9346755728951502,0.942153351257412,210560000
2000-03-07,0.9187864661216736,0.9529025020016993,0.9057010000775311,0.9454247220209379,273011200
2000-03-08,0.9122442007064819,0.9267316392677662,0.8865405905055798,0.9187865348814335,271230400
2000-03-09,0.9141133427619934,0.9346756883690724,0.8842039227985509,0.9038317207046717,276718400
2000-03-10,0.9402843117713928,0.9566409438232749,0.9047663062714594,0.9099075667690718,248606400
2000-03-13,0.9071030616760254,0.9458921398530878,0.8935502704737637,0.9131788708277823,303956800
2000-03-14,0.8542935848236084,0.929067873043137,0.8524242900144701,0.9064017250578164,428579200
2000-03-15,0.8692481517791748,0.8991583631058514,0.8533588480628078,0.8645751149139681,443609600
2000-03-16,0.9089718461036682,0.9122438104649807,0.8561626767548199,0.8771932391680834,378100800
2000-03-17,0.9346752762794495,0.9346752762794495,0.8944842519785334,0.8982236391437912,305043200
2000-03-20,0.9197210073471069,0.9440226413801789,0.9150478696121054,0.923460296241646,204489600
2000-03-21,1.00898277759552,1.0225354665521527,0.9094402179854199,0.9164498749312626,524328000
2000-03-22,1.0781482458114624,1.0795510154858226,0.9837461695458227,0.9928595301410802,567996800
2000-03-23,1.0566514730453491,1.124415315452431,1.0468371748626661,1.061791834764147,562564800
2000-03-24,1.0370229482650757,1.0762793450322719,1.0131885362263986,1.0650630747879337,446913600
2000-03-27,1.0435658693313599,1.082354934458601,1.0234699518807886,1.0290785351224097,279182400
2000-03-28,1.0402950048446655,1.0617920011203887,1.025339444092468,1.026274091763839,202966400
2000-03-29,1.0164602994918823,1.042631225465571,1.0006874007587088,1.0421640015979377,239836800
2000-03-30,0.9402843117713928,1.0295459504691047,0.9379476928357716,0.9987011828404136,414400000
2000-03-31,1.0155258178710938,1.0262738643736773,0.9421533962365983,0.9529023412466778,404633600
2000-04-03,0.9968317747116089,1.0430986214082552,0.9678570043546434,1.0131884049096405,328563200
2000-04-04,0.9519675970077515,0.9944951504851874,0.8729874982848129,0.9916913082115378,660329600
2000-04-05,0.9748674035072327,0.9935605514706769,0.9271986881739348,0.9456581243666095,457665600
2000-04-06,0.9360781908035278,1.0057113091182435,0.921589960139794,0.9767365449712451,259627200
2000-04-07,0.9851481318473816,0.9860826793390708,0.938414767213832,0.9515002291122077,242435200
2000-04-10,0.9346752762794495,0.9926256940938352,0.9328060818674695,0.9846805945430903,212262400
2000-04-11,0.8930824398994446,0.9337406906033688,0.8828008216985865,0.923459970909738,541822400
2000-04-12,0.8169066309928894,0.8898117456738258,0.7841934131263797,0.8898117456738258,941136000
2000-04-13,0.8510223031044006,0.8972891403586879,0.8112985957979724,0.8337310788840127,529827200
2000-04-14,0.8365353345870972,0.8823340222618773,0.8150374382298713,0.8173740076622593,667620800
2000-04-17,0.9262639284133911,0.9267312520640879,0.8155043795835295,0.8187763938945231,409561600
2000-04-18,0.9486967921257019,0.9486967921257019,0.8926156324393775,0.923460504877212,390924800
2000-04-19,0.9057008028030396,0.9739319611937283,0.8954191820300704,0.9435553210914621,520150400
2000-04-20,0.888876736164093,0.9328062573891038,0.8753239509931167,0.9248619550165562,722120000
2000-04-24,0.9010278582572937,0.9010278582572937,0.858032974404206,0.8599021695994779,443620800
2000-04-25,0.9594444632530212,0.962716427499055,0.9127111019541001,0.9131784255836748,391641600
2000-04-26,0.9071030616760254,0.9571083117681962,0.8972895601725601,0.9468266877337562,366912000
2000-04-27,0.9477611780166626,0.9496312718092893,0.8717022112115136,0.876258842691498,326603200
2000-04-28,0.9276659488677979,0.9533696523012634,0.9071028064195286,0.9505658097798667,249580800
2000-05-01,0.9295350313186646,0.935610837372029,0.9113092105048449,0.933740744222427,226195200
2000-05-02,0.8813990354537964,0.9440225064472957,0.8785951931472283,0.9215900708140785,236432000
2000-05-03,0.8603693842887878,0.906635428744136,0.8346657822189836,0.8893441524112645,489798400
2000-05-04,0.8276551961898804,0.8617712184081758,0.8267205489422011,0.8608365711604966,399515200
2000-05-05,0.845881998538971,0.8580328132853967,0.8278889390833719,0.8285898746707079,284076800
2000-05-08,0.8234496116638184,0.8500878127478756,0.8225149642137194,0.838170608505372,184900800
2000-05-09,0.7883989214897156,0.8318619212934901,0.7841931580517768,0.82485146697326,327140800
2000-05-10,0.7426002025604248,0.7851277563617034,0.7383935905275909,0.7781173020338689,535091200
2000-05-11,0.7687713503837585,0.7795202974955261,0.7402638983100596,0.7580224531890838,499744000
2000-05-12,0.8047564625740051,0.8262535049997326,0.7833750281181329,0.7926056456387076,306913600
2000-05-15,0.7552185654640198,0.8080277018311106,0.748675383399176,0.8080277018311106,678932800
2000-05-16,0.7902681827545166,0.8155044610875224,0.7683038691424399,0.781505738635521,440451200
2000-05-17,0.7580223083496094,0.7753135361011892,0.7505445295970793,0.7748462123669686,398092800
2000-05-18,0.753349244594574,0.7846605347830432,0.7524145970965606,0.7701731491442405,373777600
2000-05-19,0.7028768062591553,0.742133208893848,0.6982028687740366,0.742133208893848,740667200
2000-05-22,0.6724990606307983,0.7010073554522658,0.6430569669442635,0.7010073554522658,755507200
2000-05-23,0.6416550278663635,0.6982026449481233,0.6402531066391538,0.6767056542348323,517585600
2000-05-24,0.6556751132011414,0.6710970958664371,0.6206244855244493,0.6444588943744499,678462400
2000-05-25,0.6525203585624695,0.6928286031631302,0.6430569780369458,0.6617509757275976,406750400
2000-05-26,0.6458608508110046,0.6720317799124665,0.6374493226759198,0.6580116678464467,181148800
