Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2014-01-02,30.63677215576172,30.834642897698757,30.58730368401527,30.79341759871901,30632200
2014-01-03,30.43065643310547,30.68623880437094,30.175074061839997,30.66974931476847,31134800
2014-01-06,29.787574768066406,30.414159494249926,29.771085282502657,30.381180523122428,43603700
2014-01-07,30.01842498779297,30.084382938204,29.853533256813574,29.95247018243012,35802800
2014-01-08,29.482521057128906,29.79581496144357,29.3341219919772,29.680391719076976,59971700
2014-01-09,29.292903900146484,29.606197881364935,29.185726945953217,29.58146522194314,36516300
2014-01-10,29.7133846282959,29.80407525986342,29.47429171689951,29.597961331773217,40548800
2014-01-13,28.839458465576172,29.69689310251198,28.71579200422213,29.672160439250916,45901900
2014-01-14,29.499025344848633,29.581472805805582,28.55090313171166,28.633347447619553,41623300
2014-01-15,30.30698013305664,30.331715934515806,29.5567258197846,29.59795110720058,44812600
2014-01-16,30.414173126220703,30.504863764945984,29.935990410736323,30.24928134172467,38018700
2014-01-17,29.993701934814453,30.364707662075812,29.804077484225132,30.364707662075812,46267500
2014-01-21,29.820558547973633,30.35645596406436,29.729871070756264,30.35645596406436,31567300
2014-01-22,29.62268829345703,29.944225456164208,29.474286042200127,29.894756990729125,21904300
2014-01-23,29.72986602783203,29.78757766038495,29.284659309525424,29.754598686055253,43954000
2014-01-24,30.34819984436035,30.958294987425806,30.117350228428545,30.875850717837704,76395500
2014-01-27,29.705135345458984,30.414167690537763,29.663913192964582,30.397678200530276,44420800
2014-01-28,29.90300178527832,30.00193556606391,29.474284541809848,29.779332200510193,36205500
2014-01-29,30.22454261779785,30.40592385889948,29.597957736340014,29.663912549891517,52745900
2014-01-30,30.389423370361328,30.405912854043283,29.870015642045743,30.3317117499982,35036300
2014-01-31,31.197404861450195,31.238627018824708,30.142102536427462,30.463639767017263,93162300
2014-02-03,30.076135635375977,31.32106517564074,30.034913490245266,31.11495130493911,64063100
2014-02-04,29.96894645690918,30.661488978324254,29.88650219164074,30.480110965724272,54697900
2014-02-05,29.532001495361328,30.067898932485445,29.515512004752257,29.919496662052573,55814400
2014-02-06,29.82880401611328,29.886515656812207,29.424819386172253,29.515510005855862,35351800
2014-02-07,30.142099380493164,30.166832043318514,29.6886462617039,29.944228642744335,33260500
2014-02-10,30.3399658203125,30.3399658203125,29.919494843015542,30.199809876229704,26767000
2014-02-11,30.64500617980957,30.719207292752966,30.389427014708392,30.40591650036779,32141400
2014-02-12,30.892351150512695,30.999528109956486,30.752192068476997,30.79341421788218,27051800
2014-02-13,31.007770538330078,31.21388440455663,30.7769240145717,30.7769240145717,37635500
2014-02-14,31.016014099121094,31.147926849362698,30.776924401528714,30.826389717214287,31407500
2014-02-18,31.082454681396484,31.381484697539396,31.07414970033949,31.256890969900315,32834000
2014-02-19,31.157224655151367,31.356579135242363,30.908033931511593,30.916342084524366,29750400
2014-02-20,31.35657501220703,31.456250654830324,31.06585306762594,31.20705996395631,27526100
2014-02-21,31.547626495361328,31.85496162562647,31.447950836367887,31.51440021948616,38021300
2014-02-24,31.306737899780273,31.54762362501023,31.18214412953262,31.306737899780273,32085100
2014-02-25,31.18214988708496,31.439645627653857,31.02432664621255,31.240294290996154,30736500
2014-02-26,31.12400245666504,31.348275065070883,30.891421695004134,31.215373130678387,41041800
2014-02-27,31.447946548461914,31.47286466765469,30.924643864992206,31.10738518875691,33903400
2014-02-28,31.82174301147461,31.94633681065049,31.414728996115358,31.54763094974914,41215000
2014-03-03,31.381494522094727,31.67221964819751,31.140611972460835,31.497783305083164,29717500
2014-03-04,31.904794692993164,31.962939079892696,31.62237774149625,31.73036153229457,26802400
2014-03-05,31.65561294555664,31.7885148915002,31.5060978602911,31.771901752178213,20520100
2014-03-06,31.68885040283203,31.763607971836453,31.472882684093275,31.680542245924066,23582200
2014-03-07,31.481185913085938,31.863278686571576,31.306749500292096,31.796826116243835,26591600
2014-03-10,31.414722442626953,31.572542489446253,31.331659927170872,31.55593252126052,19006600
2014-03-11,31.580854415893555,31.755287620374162,31.331663671116655,31.456257459188986,25216400
2014-03-12,31.788511276245117,31.921413207073954,31.3898054837586,31.398110468158915,30494100
2014-03-13,31.47287368774414,31.938032113990158,31.265214185271688,31.913110819023334,32169700
2014-03-14,31.315038681030273,31.68051809047731,31.15721550644891,31.273507434057137,27195600
2014-03-17,31.605764389038086,31.904794473107028,31.389799977561303,31.48117063309697,20479600
2014-03-18,32.85173034667969,33.14245553087152,31.74698351892121,31.780206628819208,64063900
2014-03-19,32.619140625,32.851718151107654,32.32011056650093,32.785268787347384,35597200
2014-03-20,33.499610900878906,33.765414639493095,32.5942159260273,32.60252090658315,59269800
2014-03-21,33.35841751098633,34.00631405074495,33.233820560125636,33.8235758697499,80721800
2014-03-24,33.640838623046875,33.75712743476263,33.10923081598486,33.50793667128137,46098400
2014-03-25,33.50792694091797,34.047842745535,33.19228370889733,33.77373076726223,43193100
2014-03-26,33.05109405517578,33.81527966243309,32.89327077251332,33.62423326061876,41977500
2014-03-27,32.693904876708984,33.20059445039571,32.677291740187734,33.00954813334907,35369200
2014-03-28,33.47469711303711,33.757114044593756,32.95970265030364,33.05107330001774,43472700
2014-03-31,34.04783248901367,34.47145621944066,33.557756237702904,33.582674348719024,46886300
2014-04-01,34.404998779296875,34.54620878166926,34.11427696357453,34.18072947495686,32605000
2014-04-02,34.34687423706055,34.60437311431943,34.19735916879823,34.421631771191706,28666700
2014-04-03,34.06444549560547,34.297026170858345,33.815254857277495,34.297026170858345,30139600
2014-04-04,33.11753845214844,34.38010867928268,32.92649207923528,34.26381985826012,51409600
2014-04-07,33.059383392333984,33.4497841674079,33.009547152882305,33.192285311924635,37559600
2014-04-08,33.07600402832031,33.167374712875564,32.56100936921085,33.01785962335468,35918600
2014-04-09,33.615909576416016,33.682358946394984,33.125833194374295,33.16736444669008,27398700
2014-04-10,32.693904876708984,33.7986515220016,32.46963228661985,33.590992068433714,45960800
2014-04-11,32.56930160522461,33.05107296478282,32.39486845861126,32.39486845861126,34330200
2014-04-14,32.544395446777344,32.735441796874696,32.311817832507934,32.48625104320999,32006600
2014-04-15,33.017860412597656,33.19229363166411,32.43641318041031,32.677298960244464,33968700
2014-04-16,33.55777359008789,33.57438356026709,33.15075961078844,33.27535656755805,30615800
2014-04-17,33.23381805419922,33.391641269206715,32.818499140822595,33.23381805419922,36688400
2014-04-21,33.175682067871094,33.350118463858685,33.05108826346013,33.333505322877365,22221200
2014-04-22,33.21720886230469,33.34180263805017,33.08430693366369,33.19228757225005,27056700
2014-04-23,32.96802520751953,33.21721917362939,32.785286979307315,33.21721917362939,24602800
2014-04-24,33.10920715332031,33.20057777397644,32.64404907026647,33.00953155289099,42381600
2014-04-25,33.15074920654297,33.790340591204476,33.01784730639456,33.46639240763217,56876800
2014-04-28,33.94815444946289,34.2970238544644,33.30025819984237,33.3417894419869,50610200
2014-04-29,33.649139404296875,34.2139734208824,33.54946374508534,34.139215884315725,29636200
2014-04-30,33.55777359008789,33.640836115512805,33.36672407807256,33.55777359008789,35458700
